Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
71,Entry short,18/02/2026 19:45,Short 15M,187.9,1,187.9,-0.33,-0.24,0,0.83,0.6,-0.45,-0.32,10.29,1.03,12
72,Exit long,19/02/2026 16:45,Exit Long 15M,186.55,1,187.88,-0.99,-0.71,0,0.41,0.29,-0.99,-0.71,9.3,0.93,6
72,Entry long,19/02/2026 15:15,Long 15M,187.88,1,187.88,-0.99,-0.71,0,0.41,0.29,-0.99,-0.71,9.3,0.93,6
73,Exit short,19/02/2026 18:45,Exit Short 15M,186.6,1,185.95,-0.48,-0.35,0,0.07,0.05,-0.48,-0.35,8.82,0.88,3
73,Entry short,19/02/2026 18:00,Short 15M,185.95,1,185.95,-0.48,-0.35,0,0.07,0.05,-0.48,-0.35,8.82,0.88,3
74,Exit long,19/02/2026 21:45,Exit Long 15M,187.31,1,187.89,-0.43,-0.31,0,0.23,0.16,-0.43,-0.31,8.39,0.84,3
74,Entry long,19/02/2026 21:00,Long 15M,187.89,1,187.89,-0.43,-0.31,0,0.23,0.16,-0.43,-0.31,8.39,0.84,3
75,Exit long,20/02/2026 15:00,Exit Long 15M,187.02,1,188.06,-0.77,-0.55,0,0.47,0.33,-0.77,-0.55,7.62,0.76,1
75,Entry long,20/02/2026 14:45,Long 15M,188.06,1,188.06,-0.77,-0.55,0,0.47,0.33,-0.77,-0.55,7.62,0.76,1
76,Exit long,23/02/2026 10:15,Exit Long 15M,189.72,1,190.25,-0.39,-0.28,0,0.25,0.18,-0.39,-0.28,7.23,0.72,3
76,Entry long,23/02/2026 09:30,Long 15M,190.25,1,190.25,-0.39,-0.28,0,0.25,0.18,-0.39,-0.28,7.23,0.72,3
77,Exit long,23/02/2026 14:30,Exit Long 15M,192.9,1,190.63,1.68,1.19,0,1.68,1.19,-0.16,-0.12,8.91,0.89,4
77,Entry long,23/02/2026 13:30,Long 15M,190.63,1,190.63,1.68,1.19,0,1.68,1.19,-0.16,-0.12,8.91,0.89,4
78,Exit long,24/02/2026 09:00,Exit Long 15M,192.45,1,191.64,0.6,0.42,0,0.6,0.42,-0.17,-0.12,9.51,0.95,16
78,Entry long,23/02/2026 21:00,Long 15M,191.64,1,191.64,0.6,0.42,0,0.6,0.42,-0.17,-0.12,9.51,0.95,16
79,Exit long,24/02/2026 14:45,Exit Long 15M,190.2,1,191.49,-0.96,-0.67,0,0.42,0.3,-3.03,-2.14,8.55,0.86,1
79,Entry long,24/02/2026 14:30,Long 15M,191.49,1,191.49,-0.96,-0.67,0,0.42,0.3,-3.03,-2.14,8.55,0.86,1
80,Exit short,24/02/2026 15:15,Exit Short 15M,191.25,1,189.73,-1.13,-0.8,0,0.12,0.08,-1.15,-0.82,7.43,0.74,1
80,Entry short,24/02/2026 15:00,Short 15M,189.73,1,189.73,-1.13,-0.8,0,0.12,0.08,-1.15,-0.82,7.43,0.74,1
81,Exit long,24/02/2026 20:45,Exit Long 15M,193.66,1,192,1.23,0.86,0,1.3,0.91,-0.21,-0.15,8.66,0.87,21
81,Entry long,24/02/2026 15:30,Long 15M,192,1,192,1.23,0.86,0,1.3,0.91,-0.21,-0.15,8.66,0.87,21
82,Exit long,25/02/2026 22:00,Exit Long 15M,198.7,1,201.54,-2.09,-1.41,0,0.16,0.11,-2.09,-1.41,6.56,0.66,1
82,Entry long,25/02/2026 21:45,Long 15M,201.54,1,201.54,-2.09,-1.41,0,0.16,0.11,-2.09,-1.41,6.56,0.66,1
83,Exit long,26/02/2026 10:30,Exit Long 15M,197.14,1,198.29,-0.85,-0.58,0,0.52,0.35,-0.85,-0.58,5.72,0.57,5
83,Entry long,26/02/2026 09:15,Long 15M,198.29,1,198.29,-0.85,-0.58,0,0.52,0.35,-0.85,-0.58,5.72,0.57,5
84,Exit short,26/02/2026 14:30,Exit Short 15M,192,1,196.61,3.4,2.34,0,3.4,2.34,-0.11,-0.08,9.12,0.91,1
84,Entry short,26/02/2026 14:15,Short 15M,196.61,1,196.61,3.4,2.34,0,3.4,2.34,-0.11,-0.08,9.12,0.91,1
85,Exit short,27/02/2026 12:30,Exit Short 15M,183.81,1,185.61,1.33,0.97,0,1.33,0.97,-0.45,-0.33,10.45,1.05,9
85,Entry short,27/02/2026 10:15,Short 15M,185.61,1,185.61,1.33,0.97,0,1.33,0.97,-0.45,-0.33,10.45,1.05,9
86,Exit long,02/03/2026 18:45,Exit Long 15M,182.44,1,179.53,2.16,1.62,0,2.91,2.19,-0.47,-0.35,12.61,1.26,16
86,Entry long,02/03/2026 14:45,Long 15M,179.53,1,179.53,2.16,1.62,0,2.91,2.19,-0.47,-0.35,12.61,1.26,16
87,Exit short,03/03/2026 16:00,Exit Short 15M,179.18,1,177.36,-1.36,-1.03,0,0.33,0.25,-1.36,-1.03,11.25,1.13,1
87,Entry short,03/03/2026 15:45,Short 15M,177.36,1,177.36,-1.36,-1.03,0,0.33,0.25,-1.36,-1.03,11.25,1.13,1
88,Exit long,03/03/2026 19:15,Exit Long 15M,179.61,1,180.58,-0.72,-0.54,0,0.17,0.13,-0.72,-0.54,10.53,1.05,2
88,Entry long,03/03/2026 18:45,Long 15M,180.58,1,180.58,-0.72,-0.54,0,0.17,0.13,-0.72,-0.54,10.53,1.05,2
89,Exit long,05/03/2026 00:15,Exit Long 15M,183.49,1,182.17,0.99,0.72,0,1.89,1.39,-0.28,-0.2,11.51,1.15,36
89,Entry long,04/03/2026 15:15,Long 15M,182.17,1,182.17,0.99,0.72,0,1.89,1.39,-0.28,-0.2,11.51,1.15,36
90,Exit long,05/03/2026 09:00,Exit Long 15M,182.65,1,183.68,-0.77,-0.56,0,0.04,0.03,-0.77,-0.56,10.74,1.07,1
90,Entry long,05/03/2026 00:45,Long 15M,183.68,1,183.68,-0.77,-0.56,0,0.04,0.03,-0.77,-0.56,10.74,1.07,1
91,Exit short,05/03/2026 14:15,Exit Short 15M,181.16,1,182.75,1.19,0.87,0,1.19,0.87,-0.19,-0.14,11.93,1.19,19
91,Entry short,05/03/2026 09:30,Short 15M,182.75,1,182.75,1.19,0.87,0,1.19,0.87,-0.19,-0.14,11.93,1.19,19
92,Exit long,05/03/2026 15:30,Exit Long 15M,181.28,1,182.47,-0.89,-0.65,0,0.24,0.18,-0.89,-0.65,11.04,1.1,2
92,Entry long,05/03/2026 15:00,Long 15M,182.47,1,182.47,-0.89,-0.65,0,0.24,0.18,-0.89,-0.65,11.04,1.1,2
93,Exit short,05/03/2026 20:15,Exit Short 15M,182.31,1,181.1,-0.9,-0.67,0,2.39,1.77,-0.9,-0.67,10.14,1.01,11
